Name,VDW,HB,HP,HM,HS,RT,x-score,q,C,N,O,H,F,P,S,Cl,Br,I,1,2,3,am,ar,his,arg,lys,ile,phe,leu,trp,ala,met,pro,val,cys,asn,gly,ser,gln,tyr,thr,asp,glu,hoh,phis,parg,plys,pile,pphe,pleu,ptrp,pala,pmet,ppro,pval,pcys,pasn,pgly,pser,pgln,ptyr,pthr,pasp,pglu,exp
1qk3,500.3,8.2,0,0,0,3,5.82,-2,10,5,8,12,0,1,0,0,0,0,29,4,0,2,3,0,2,2,4,4,6,1,1,0,0,6,1,1,3,2,1,1,6,4,4,24,7,13,17,17,16,20,1,9,4,10,16,4,7,17,15,3,11,10,21,14,5.15
2bes,349.2,9.3,0,0,0,4,5.22,-1,4,1,8,8,0,1,0,0,0,0,16,1,0,1,3,3,4,0,2,0,3,1,8,1,1,0,1,2,7,1,1,3,1,5,2,15,7,11,4,11,2,11,2,25,2,8,9,3,4,16,5,7,5,8,9,9,4.24
3bbf,499,5.5,0,0,0,5,5.44,-2,10,5,11,13,0,2,0,0,0,0,31,3,0,1,8,2,4,1,2,2,3,0,0,1,3,2,1,2,4,3,1,2,1,3,3,32,4,9,13,10,8,11,3,8,4,7,14,2,5,13,8,4,4,4,8,12,5.28
2x7u,414.3,3,80.6,3.84,151.2,3,6.02,0,19,1,5,27,0,0,1,0,0,0,47,2,0,1,6,7,1,1,1,4,8,5,3,0,3,5,1,3,2,2,2,1,2,1,3,6,11,7,24,9,12,26,7,13,1,17,17,1,10,22,17,11,8,12,19,13,5.27
5fso,290.6,2.9,15.2,0,24.9,0,4.91,0,5,3,2,7,0,0,0,0,0,0,11,3,0,3,0,0,1,1,2,7,3,3,0,2,1,4,0,1,5,1,1,1,1,2,1,11,3,8,9,5,11,16,4,4,4,7,13,2,1,15,5,11,4,8,12,12,6.09
4ykk,260.5,7.5,0,0,0,2,4.89,0,3,1,3,7,0,0,0,0,0,0,11,0,0,0,2,1,2,1,6,3,3,0,3,1,1,2,0,1,2,2,0,2,2,2,4,9,6,11,16,14,15,27,5,10,6,7,15,4,11,22,20,5,7,11,23,20,2.77
4jx9,276.4,3.7,6.2,0.14,21.5,2,4.74,0,9,2,6,12,0,0,0,0,0,0,24,3,0,3,0,2,2,0,0,0,3,0,0,1,1,2,0,4,3,2,0,2,2,2,1,12,11,9,10,15,6,17,1,12,6,12,12,0,12,25,12,9,5,4,8,7,8.62
4z1e,366.5,2.7,64.2,2.97,142.6,2,5.71,0,17,2,4,18,0,0,1,0,0,0,27,3,0,2,12,5,1,0,1,3,8,2,2,0,3,4,1,3,2,2,1,1,2,0,3,12,12,7,24,9,12,26,7,13,1,17,17,1,10,22,18,11,8,12,19,13,8.24
3dsz,740.3,4.6,78.8,2.48,185.9,15.5,6.28,-2,30,5,13,43,0,0,1,0,0,0,76,1,0,0,16,0,4,3,3,5,6,1,3,2,2,6,1,1,2,1,3,6,5,1,0,27,3,8,15,8,11,15,1,8,3,11,12,2,10,10,11,11,8,9,7,9,7.77
3bgs,508.8,3.7,20.5,0.14,9.6,3,5.61,1,12,4,3,17,0,0,0,0,0,0,33,4,0,1,0,2,2,1,2,2,4,0,6,2,2,5,1,3,5,4,0,2,2,0,4,17,8,17,11,12,15,26,3,21,12,15,23,4,11,27,13,13,9,15,13,18,9.42
3npc,1041.6,3.8,190.5,4.67,459.2,4,9.35,1,31,5,3,38,0,0,0,0,0,0,59,3,0,2,17,3,3,6,9,2,12,0,6,4,0,9,2,5,3,2,2,3,2,4,3,17,10,16,22,26,13,33,6,24,12,18,29,8,13,15,16,17,16,16,21,26,8.34
2usn,510.9,3,82.4,3.96,254.5,6,6.32,0,19,4,3,18,0,0,2,0,0,0,30,4,0,2,12,7,0,1,3,4,2,0,4,1,6,2,0,1,4,1,0,4,1,2,1,11,8,7,6,8,10,16,3,13,2,10,8,0,6,13,8,3,8,13,14,9,6.51
1o2r,625.9,3.6,43.4,1.73,193,2,6.67,1,21,4,2,24,1,0,0,0,0,0,40,1,0,0,14,2,0,3,3,2,3,1,4,0,1,4,5,1,9,6,2,7,1,3,0,12,3,2,14,15,3,14,4,14,2,8,17,12,16,25,34,10,10,10,6,4,5.21
4ibc,464,2,111.7,6.27,285.2,3,6.73,-1,25,1,5,16,0,0,0,2,0,0,28,3,0,1,20,2,3,3,4,1,5,0,1,0,2,5,3,0,2,2,2,1,0,3,0,8,4,7,8,13,5,11,1,9,1,10,7,4,2,8,8,9,1,3,10,2,2.98
1d3d,782.9,0.7,119.4,3.87,392.4,8,7.35,2,32,2,2,37,0,0,1,0,1,0,61,1,0,0,18,1,3,2,3,2,4,3,4,1,2,4,5,3,9,2,0,4,2,6,4,11,5,20,21,17,10,25,8,12,7,15,16,8,10,21,16,8,11,10,18,20,9.09
4q0k,537.1,1.8,118.5,3.26,229.8,1,6.73,-1,19,0,6,21,0,0,0,0,0,0,45,3,0,0,2,0,1,1,6,5,7,0,2,0,1,9,0,1,2,2,5,3,4,0,2,16,2,1,12,11,7,18,1,5,1,5,15,0,9,11,9,8,7,13,5,14,4.87
2vo4,236.5,0,29.8,1.05,95.9,1,4.66,1,7,1,2,7,0,0,1,0,0,0,10,2,0,0,6,0,1,3,1,1,3,1,2,1,2,2,0,0,0,3,0,2,1,2,2,8,2,9,24,15,11,23,6,13,4,12,12,3,7,11,8,9,10,6,13,21,4.94
2q2a,428.9,11.3,22.1,0.36,40.3,5,5.77,1,6,4,2,15,0,0,0,0,0,0,21,0,0,0,5,0,1,0,5,5,1,1,6,0,0,2,0,3,4,1,3,3,9,4,4,17,1,2,31,14,11,17,2,20,5,9,20,0,13,22,11,9,9,12,17,16,7.41
5d3c,1028.4,7.5,115.2,2.37,310.9,12,8.2,-2,30,5,10,30,0,0,0,1,0,0,52,6,0,4,16,5,1,2,2,7,5,1,5,1,2,3,0,1,4,3,0,2,4,6,2,38,9,7,6,11,10,9,3,13,4,6,9,0,7,19,9,2,7,10,14,4,10.4
2wec,687.6,4.3,112.2,6.28,372.1,11,7.26,-1,28,2,7,32,0,1,0,0,0,0,48,3,0,2,19,0,0,0,6,3,5,0,2,0,1,1,0,6,11,9,4,5,6,7,2,33,3,0,5,13,20,21,3,24,0,12,23,2,15,40,46,25,14,30,23,4,3.96
1jzs,693.4,3.5,64.8,3.34,325.3,16,6.22,-1,26,0,9,43,0,0,0,0,0,0,75,2,0,0,2,3,4,3,4,2,4,5,3,2,5,4,1,2,7,4,3,2,3,6,3,0,17,58,47,27,38,86,25,73,10,57,58,10,22,50,31,21,42,36,40,73,6.6
2pqb,649.2,13.9,10.8,0,27.4,4.5,6.79,-5,10,0,14,8,2,2,0,0,0,0,25,1,0,0,10,3,8,3,3,2,4,0,6,5,3,4,1,1,1,8,1,0,5,6,3,29,4,28,15,23,11,46,1,41,18,25,38,2,14,52,28,6,3,36,29,25,7.2
2wuf,544.6,1.6,119.6,2.86,242,5,6.38,-1,19,0,6,23,0,0,0,0,0,0,42,5,0,0,2,2,3,2,0,3,6,1,4,3,3,6,0,5,13,4,3,1,4,2,0,11,9,20,10,6,17,34,4,29,6,14,24,1,10,30,11,9,6,13,14,15,4.29
3bxf,471.6,10.8,0,0,0,4,5.82,-3,6,0,12,10,0,2,0,0,0,0,24,0,0,0,6,1,3,3,3,2,0,0,8,2,0,6,0,3,8,2,1,2,7,1,3,43,4,10,23,15,6,21,1,28,8,8,21,2,11,20,16,6,5,14,16,18,5.54
1sv3,258.3,0.4,34,1.31,82.7,1,4.81,-1,8,0,3,7,0,0,0,0,0,0,10,0,0,0,8,1,0,2,2,3,3,1,3,0,1,0,3,0,3,3,0,4,1,3,0,21,1,5,13,5,4,9,1,6,2,5,3,14,6,11,7,1,9,5,7,7,4.35
3kmy,356,0.8,71.8,2.64,216.4,3,5.53,0,13,2,0,13,0,0,0,1,0,0,18,0,0,0,12,0,1,3,5,2,2,2,1,0,1,4,0,1,5,4,1,2,5,3,0,2,7,19,15,24,20,29,7,24,8,20,34,6,15,35,30,16,19,23,21,23,4.49
3jyr,933.3,11.9,17.4,0.53,55.5,9,7.53,1,25,1,18,44,0,0,0,0,0,0,90,1,0,0,0,1,2,3,1,4,4,4,5,2,3,3,0,3,3,2,1,4,2,3,4,43,2,6,38,23,17,28,8,44,7,21,22,0,21,29,14,12,13,18,25,22,5.54
4jfm,525.6,1,80.9,3.1,162.7,9,5.74,0,23,2,8,26,0,0,2,0,0,0,46,4,0,2,12,0,1,4,3,5,4,1,2,0,2,4,1,0,2,3,1,3,0,2,1,13,3,3,16,8,6,9,1,7,2,6,9,2,4,15,8,2,4,6,7,10,5.48
3q1x,214.4,3.6,0,0,0,2,4.41,0,3,1,3,7,0,0,0,0,0,0,11,0,0,0,2,4,4,1,2,1,2,0,5,1,2,1,0,0,5,0,1,2,4,3,1,12,14,12,16,27,11,16,2,18,7,8,20,6,5,20,14,9,17,14,16,15,5.33
3ebh,599.3,8,97.9,3.04,262.1,7,6.91,0,16,2,4,24,0,0,0,0,0,0,36,1,0,1,8,3,1,1,2,3,4,1,2,3,0,5,1,6,5,2,2,4,6,1,6,24,17,29,83,54,48,92,6,38,21,32,51,6,63,30,62,27,55,52,59,64,6.32
1ksn,802.6,3.1,130.8,3.44,201.1,5,7.58,2,25,4,4,27,0,0,0,0,0,0,38,3,0,1,20,2,2,3,5,1,1,1,3,1,0,4,3,0,9,4,2,4,3,3,4,13,6,14,18,13,13,15,4,13,5,6,16,12,8,23,12,10,8,20,14,21,9.4
2bys,801.6,0.6,205,4.05,358.6,5,7.9,1,22,1,2,28,0,0,0,0,0,0,42,1,0,0,12,1,2,1,4,3,2,1,3,1,4,7,2,1,1,7,6,5,4,3,3,21,3,10,9,9,8,16,4,11,4,11,17,4,7,8,21,11,11,17,18,9,9.52
1tng,269.7,2.2,21,0,142.9,1,4.86,1,7,1,0,16,0,0,0,0,0,0,24,0,0,0,0,1,0,2,3,0,1,1,3,0,1,3,2,1,8,5,2,2,0,3,0,10,3,2,14,15,3,14,4,14,2,8,17,12,16,25,34,10,10,10,6,4,2.93
6b4u,737.3,0.9,238.8,7.13,342.5,8,7.9,0,35,2,4,36,0,0,0,0,0,0,56,1,0,0,25,2,2,1,5,4,6,0,4,2,0,8,0,2,3,5,1,0,2,1,1,15,4,14,10,9,7,14,3,8,4,2,13,1,4,11,11,6,2,10,11,11,7.68
5efj,597.7,3.4,78.2,3.42,170.9,7,6.42,0,21,4,8,30,0,0,0,0,0,0,57,5,0,4,0,6,1,0,1,6,2,0,4,0,5,1,2,4,7,2,0,2,0,6,2,22,21,22,8,21,14,37,4,31,11,18,17,7,16,25,32,8,11,16,16,21,6.46
1bnw,356.3,2.3,36.7,0.92,121.3,4,5.11,0,9,2,4,10,0,0,4,0,0,0,20,8,0,2,0,6,1,0,1,3,7,5,2,0,3,4,1,3,2,2,2,1,2,0,3,3,11,7,23,9,12,26,7,13,1,17,17,1,10,22,17,11,8,12,19,13,9.08
2uyn,231.9,2.9,24.6,0.53,103.3,1,4.79,-1,4,0,3,5,0,0,0,0,0,0,8,1,0,0,2,0,1,2,5,2,3,0,1,1,5,5,1,1,3,2,2,2,2,0,2,11,1,5,7,12,5,7,0,12,2,7,15,1,3,8,6,9,3,8,8,7,2.7
4zow,405.1,2.5,58.6,2.67,155.3,4,5.65,1,11,2,5,12,0,0,0,2,0,0,22,3,0,1,6,0,1,0,8,3,7,0,7,4,2,2,0,4,5,2,2,3,1,1,1,5,3,16,8,35,21,66,10,45,16,13,26,4,11,39,21,13,10,16,5,13,4.12
5ew0,357.1,2.8,29.1,0.67,136.2,2,5.28,0,7,1,2,11,0,0,3,0,0,0,23,0,0,0,2,3,2,1,2,2,1,1,1,1,0,2,1,6,3,2,2,3,3,1,1,14,6,6,16,18,7,22,3,12,4,11,12,1,16,19,8,7,13,20,11,16,6.59
3lir,734.6,2.9,70.7,1.03,245.6,11,6.36,-2,22,4,8,24,0,0,0,0,0,0,41,5,0,3,10,5,0,3,3,6,3,1,4,1,2,3,0,1,4,1,0,2,3,5,2,20,9,7,7,11,10,9,3,12,4,6,9,0,7,19,9,2,7,10,14,4,6.92
5n0e,487.3,2.5,77.2,4.26,184,2,6.44,0,22,2,5,20,0,0,1,0,0,0,30,3,0,2,18,6,1,1,1,4,8,2,2,0,3,4,1,3,4,2,2,1,2,0,2,12,11,7,24,9,12,26,7,13,1,17,17,1,10,22,17,11,8,12,19,13,8.44
4ewn,423.8,5.3,30.3,0.62,92.3,6,5.34,-2,12,1,9,17,0,1,0,0,0,0,33,2,0,0,5,1,1,3,5,4,5,0,7,0,0,4,1,1,9,6,0,2,4,3,0,16,4,13,16,20,13,23,1,21,4,5,25,1,6,22,11,4,4,15,15,20,6.7
4cp5,397.8,2.9,11.1,0.53,109.6,8,4.84,-2,9,5,9,13,0,3,1,0,0,0,28,2,0,0,11,2,4,1,4,2,1,0,1,0,1,2,0,2,5,3,0,1,1,2,3,9,2,8,11,8,8,13,1,12,2,9,18,0,6,17,9,1,3,5,5,13,3.34
1d2e,603.3,10.7,0,0,0,5,6.26,-2,10,5,11,12,0,2,0,0,0,0,32,4,0,1,5,4,1,2,2,0,4,0,8,0,1,5,2,2,5,2,1,3,4,4,1,35,14,22,26,25,9,40,2,29,11,22,32,5,10,36,11,10,9,29,21,34,6
5ia5,1029.6,3.1,123.3,3.75,298.9,5,8.64,2,33,7,4,39,2,0,0,0,0,0,65,3,0,4,18,1,3,6,8,5,5,0,3,3,0,6,0,4,7,1,1,4,2,3,5,22,5,16,18,20,10,20,5,19,14,12,19,4,9,20,17,8,11,14,13,19,7.6
2j77,359.3,6.9,0,0,0,1,5.33,1,6,1,4,14,0,0,0,0,0,0,25,0,0,0,0,2,1,1,0,3,0,4,5,1,0,3,0,6,1,2,1,3,3,0,4,16,12,22,28,30,25,29,15,28,5,20,38,1,24,36,17,9,26,13,26,32,4.89
3pju,901,8.9,0,0,0,2,7.56,-2,20,10,14,22,0,2,0,0,0,0,58,8,0,4,4,1,6,2,3,4,10,0,4,1,4,4,0,1,5,3,5,1,3,2,9,20,7,22,5,12,11,42,4,22,4,8,12,0,5,19,13,18,4,7,12,22,4.88
2h4g,448.7,3.3,53.1,2.74,127.4,3,5.93,-2,13,0,6,7,0,0,1,0,1,0,17,2,0,0,10,1,6,2,2,1,2,1,1,1,1,2,2,1,5,3,2,2,2,2,1,6,9,17,22,16,14,27,6,13,10,12,16,6,10,14,24,14,9,13,18,27,6.52
3dx3,313.1,5.8,0,0,0,0,5.14,1,5,1,4,12,0,0,0,0,0,0,22,0,0,0,0,3,2,0,2,2,1,2,2,1,2,0,0,1,3,1,0,5,2,7,1,24,44,55,51,40,44,100,21,52,28,58,72,11,39,61,73,56,38,57,63,52,6.52
5j3l,502.9,0.9,121.1,2.63,224.1,3,6.28,0,11,1,2,21,0,0,1,0,0,0,34,2,0,1,0,0,3,1,4,5,7,4,5,3,0,2,0,3,1,0,1,1,4,0,1,1,3,13,4,8,9,20,4,29,4,8,13,0,7,9,9,5,4,16,13,15,4.8
1mq5,809.9,0.8,78.8,2.26,305.8,2,7.52,2,24,4,2,25,0,0,1,3,0,0,44,4,0,2,12,3,3,3,4,3,1,1,3,1,0,4,3,0,8,4,2,3,3,4,4,16,5,14,17,13,12,13,4,13,5,6,16,9,7,22,11,9,8,19,11,19,9
3ewj,926.6,2.4,124.7,2.61,332.2,5,8.08,-1,29,2,4,23,0,0,0,0,0,0,36,1,0,1,25,4,0,3,2,1,6,0,3,3,1,4,0,4,6,2,0,3,3,4,2,32,8,8,21,13,9,17,2,17,7,10,11,6,14,21,16,10,16,14,15,20,6.84
1ajp,314.6,0.8,47,1.31,101.9,2,5.05,-1,8,0,4,7,0,0,0,0,0,0,11,0,0,0,8,0,2,0,1,5,1,3,2,2,2,1,0,5,6,4,1,3,5,0,1,18,6,26,29,21,24,46,18,46,14,32,37,0,32,34,34,36,19,38,38,27,2.23
1a9m,895,3.5,108.3,3.37,386.9,15,7.32,1,28,8,6,53,0,0,0,0,0,0,82,5,0,5,3,1,2,1,5,1,4,0,1,1,3,3,0,2,5,0,0,0,3,3,0,12,2,4,6,13,2,12,2,3,2,6,6,2,3,12,1,6,1,8,4,4,6.92
4rfr,593.7,4.9,84.5,1.6,126.7,0,6.82,-1,15,0,6,9,0,0,0,0,0,0,14,0,0,0,18,2,4,2,4,4,6,2,3,2,1,5,0,2,2,4,3,4,1,2,2,13,7,13,7,9,10,21,3,20,4,17,9,4,8,17,9,12,7,9,11,4,6.54
5ta2,597.5,4.2,61.3,5.1,265,4,7.02,1,36,4,7,49,0,0,0,0,0,0,79,5,0,3,12,3,3,3,3,3,1,1,2,2,0,0,2,4,7,3,2,0,3,1,0,26,4,6,14,10,15,7,1,9,4,6,9,4,9,23,8,3,2,11,7,11,7.96
1o35,429,4.2,22.8,0,104.8,0,5.69,1,14,4,1,12,1,0,0,0,0,0,19,1,0,0,14,1,0,2,3,1,2,1,3,0,1,3,5,1,9,5,2,3,0,3,0,24,3,2,14,15,3,14,4,14,2,8,17,12,16,25,34,10,10,10,6,4,5
3qox,767.2,8.3,10,0,46.1,7,6.66,0,14,6,5,20,0,0,1,0,0,0,39,1,0,0,8,0,1,1,2,6,5,1,3,1,2,8,0,2,6,5,2,4,1,3,4,19,11,17,22,19,13,28,7,18,9,18,22,3,16,16,21,9,14,17,20,26,6.57
3t2w,430.7,4.7,59.1,1.33,122.5,5,5.62,-1,10,2,3,15,0,0,1,0,0,0,27,1,0,2,2,0,1,2,2,3,5,3,4,0,0,4,2,4,3,4,4,2,4,2,1,9,0,1,3,8,4,7,5,9,1,3,7,2,10,11,18,9,4,8,2,3,7.46
5mpz,273.1,0.7,42.2,1.31,65.8,1,4.89,0,9,1,4,7,0,0,0,0,0,0,13,2,0,1,6,0,3,0,1,2,6,1,1,2,3,3,1,2,1,2,1,3,0,2,1,24,0,6,7,5,6,12,3,4,4,10,7,1,4,2,4,8,6,4,9,8,4.07
4ezx,799.9,6.4,81.3,3.86,334.7,22,6.5,1,33,11,10,62,0,0,1,0,0,0,97,7,0,7,5,2,1,3,4,2,2,0,3,3,2,5,0,3,3,2,5,0,5,3,4,45,5,7,18,13,4,20,0,23,6,6,12,0,9,13,12,13,0,16,16,19,5.8
1amk,232.1,7.3,0,0,0,2,4.76,-2,2,0,6,2,0,1,0,0,0,0,5,0,0,0,5,1,0,2,4,2,2,2,6,0,1,4,1,3,6,3,0,2,2,0,2,16,6,8,17,19,6,17,5,33,2,10,25,4,11,16,13,13,6,16,8,15,4.3
5vp9,889.6,5.5,108.1,5.02,422.6,7,8.38,2,38,6,8,58,0,0,2,0,0,0,104,9,0,5,0,1,3,2,2,3,4,0,5,0,1,5,0,1,6,4,1,2,4,3,0,17,3,14,8,9,3,13,2,15,4,10,19,4,4,22,19,10,5,19,8,7,8.99
4xas,476.5,8.2,53.6,0.36,140.2,2,6.2,-1,10,1,4,12,0,0,0,0,0,0,25,0,0,0,4,0,4,1,1,1,3,1,3,0,2,2,0,1,5,11,1,3,2,5,2,13,10,38,13,18,27,39,8,51,7,18,30,6,16,30,31,14,15,19,24,26,6.59
4o0x,688.7,3.9,108.6,2.69,286.6,1,7.47,0,19,6,1,20,0,0,0,0,0,0,35,1,1,0,12,1,1,3,5,3,4,0,2,4,0,8,2,2,6,3,0,2,1,2,5,17,8,20,16,16,9,34,3,20,11,19,28,3,9,18,16,11,7,8,16,18,7.17
4ryd,999.5,10.2,51.5,3.27,198.3,18,7.57,4,36,15,4,61,0,0,0,0,0,0,86,4,0,4,23,1,4,0,1,0,2,2,8,1,2,3,3,5,9,6,0,1,8,10,5,42,15,23,14,19,9,35,11,45,6,20,30,8,29,45,32,18,17,38,30,22,11.26
1d9i,618.6,2.1,83.5,2.62,242.4,7,6.41,1,22,5,5,30,0,0,1,0,0,0,49,6,0,5,6,1,4,2,4,1,2,3,3,1,1,3,4,3,8,3,0,4,1,5,4,12,5,20,21,17,10,25,8,12,7,15,16,8,10,22,16,8,11,10,19,19,9.11
3ttm,247.4,3.2,48.1,0.72,51.5,3,4.74,2,4,2,0,14,0,0,0,0,0,0,19,0,0,0,0,0,1,0,4,4,1,2,0,2,1,3,0,3,3,7,1,5,1,4,1,13,5,5,35,20,13,26,5,30,7,22,25,2,21,20,20,7,18,16,23,21,8.52
5j7w,624.2,0.6,68,2,91.2,6,6.07,-2,20,8,5,20,0,0,0,0,0,0,32,1,0,1,21,4,5,2,4,3,4,3,3,0,4,4,1,3,1,1,1,2,4,3,2,14,12,13,17,15,20,31,6,22,8,15,17,3,12,20,13,14,14,15,21,27,4.89
4tkb,337,2.3,112.5,3.75,283.1,10,5.34,-1,12,0,2,23,0,0,0,0,0,0,34,0,0,0,2,1,4,4,0,2,6,0,2,1,1,2,1,1,1,3,1,2,10,3,1,24,3,4,14,7,6,14,2,6,3,1,10,1,3,10,6,3,2,19,11,8,5.59
3f68,680.1,1.2,117.5,3.65,396.1,6,7.12,0,23,3,3,32,0,0,0,1,0,0,52,3,0,3,6,1,3,2,4,3,3,3,3,1,1,3,5,3,7,2,0,4,2,5,4,10,5,20,21,17,10,25,8,12,7,15,16,8,10,21,16,8,11,9,18,19,5.06
5ut6,521,3.5,44.1,2.12,120.6,1,6.28,0,15,7,1,13,0,0,0,0,0,0,23,2,1,0,12,0,0,4,3,3,8,0,1,0,1,4,1,3,4,3,2,2,3,2,2,23,9,12,22,19,13,33,4,15,4,13,13,7,19,14,15,8,6,10,15,21,4.24
2ra6,290.7,1.7,113.9,2.17,208.3,1,5.55,0,8,0,1,10,0,0,0,0,0,0,13,0,0,0,6,0,0,2,3,8,6,1,2,0,0,3,0,7,1,0,0,4,3,0,0,10,4,10,8,8,12,10,1,5,1,4,8,2,15,8,9,3,8,7,6,13,4.52
3hmo,623.4,1.9,119.4,5,207.1,2,7.2,1,28,4,3,27,0,0,0,0,0,0,49,1,0,1,18,0,1,7,7,2,4,0,2,2,1,6,1,3,3,3,2,3,0,2,2,9,8,6,24,31,5,22,4,10,8,12,13,5,14,11,16,16,15,6,17,14,7.52
4ll3,855.8,2.6,110.8,4.64,294.5,10,7.57,0,27,3,7,37,0,0,1,0,0,0,61,3,0,2,12,0,2,1,5,1,3,0,1,1,2,3,0,2,6,0,0,0,3,3,0,33,1,4,6,13,2,12,2,3,2,6,6,2,4,13,0,6,1,8,4,4,11.57
2v2v,489.9,1.8,12.1,0.14,102.6,5,5.32,0,18,6,5,20,0,0,0,0,0,0,38,5,0,3,6,1,3,1,2,0,7,1,2,0,1,3,0,0,10,9,0,4,2,1,2,14,3,13,15,25,11,29,2,11,2,13,23,0,9,28,22,5,12,8,3,36,4.07
3wtl,517.1,0.5,42.3,1.63,106.4,2,5.87,1,10,4,2,11,0,0,0,1,0,0,20,3,0,0,6,2,1,1,2,0,2,2,2,1,2,5,2,0,1,5,4,5,5,1,3,6,3,14,7,13,6,11,5,11,1,11,22,4,8,5,27,9,7,14,17,13,7.04
2qwc,373,6.8,14.6,0.27,100.6,4,5.34,-1,11,1,8,16,0,0,0,0,0,0,31,2,0,1,2,2,5,2,5,0,2,2,2,0,2,1,0,6,3,3,1,1,4,1,5,30,7,23,17,25,9,18,14,17,5,22,23,18,26,30,35,8,18,30,22,21,3.55
4ynl,699.9,13.6,7.5,0,44.8,20,5.71,1,24,12,10,45,0,0,0,0,0,0,70,5,0,5,10,1,3,2,5,0,4,2,3,5,1,2,0,0,2,0,3,1,1,4,4,42,1,8,4,5,2,4,3,6,7,4,4,0,1,3,0,3,3,3,6,10,4.62
2vh6,775.3,0.3,143.4,3.61,323.8,3,7.65,0,23,2,5,20,1,0,3,1,0,0,36,8,0,2,12,2,2,2,5,4,1,1,3,1,0,4,4,0,8,4,2,3,4,4,4,9,6,14,17,13,13,15,4,13,5,6,16,12,8,22,12,10,8,21,14,20,9.7
3lzz,399.8,0.8,0,0,0,5,4.69,-2,10,5,11,13,0,2,0,0,0,0,31,3,0,1,8,2,2,0,1,6,2,0,1,1,2,3,0,0,1,2,1,3,4,2,2,10,8,11,7,7,8,12,2,8,5,10,14,3,2,12,12,6,7,5,9,13,3.84
4uc5,383.8,5,75.5,1.98,151.1,3,5.79,0,9,1,2,11,0,0,0,0,0,0,15,0,0,0,8,1,1,2,5,2,4,0,3,1,1,3,1,1,1,3,1,2,4,4,2,5,16,19,20,24,6,36,3,32,9,14,19,5,12,29,20,11,10,16,21,24,5.48
3v51,844.1,2,197,6.57,401,4,8.62,0,25,5,1,22,0,0,0,1,0,0,34,1,0,0,23,1,2,5,5,6,12,0,1,2,0,8,1,1,7,3,1,3,3,1,7,11,8,21,45,29,20,45,4,25,13,8,29,5,13,28,33,19,18,22,38,36,8.55
1b2h,767.1,8.9,61,1.43,149.4,14,6.6,3,17,6,4,39,0,0,0,0,0,0,59,2,0,2,2,3,4,0,1,2,4,2,4,1,3,3,2,9,3,6,1,12,3,3,4,37,11,17,43,23,16,44,13,40,3,31,44,2,36,22,28,18,28,30,39,29,4.54
5sz4,337.6,2.5,64,3.29,157,1,5.73,0,12,1,2,11,0,0,1,0,0,0,13,2,0,1,12,6,1,0,0,2,7,2,3,0,3,5,1,2,3,3,2,2,2,0,2,14,11,7,23,8,11,26,7,13,1,17,18,1,9,22,18,12,8,13,19,13,9.7
4aje,347.8,5.1,36.8,2.19,159.8,3,5.58,-2,9,0,5,5,0,0,0,0,1,0,10,0,0,0,10,2,3,0,5,1,3,1,5,0,1,8,2,2,7,5,2,2,2,3,1,20,6,10,28,24,7,37,6,19,7,12,37,5,14,25,26,14,7,11,19,16,3.68
3oy8,324.9,5.5,0,0,0,7,4.58,-1,12,0,12,21,0,0,0,0,0,0,43,0,0,0,2,2,3,1,0,3,1,1,1,0,0,2,1,3,2,2,1,0,1,2,1,9,2,5,8,4,10,12,1,14,1,7,10,3,13,11,5,3,2,4,9,7,3.66
4l9i,511.3,1.2,48.8,1.14,162.5,4,5.76,1,19,1,3,21,1,0,0,0,0,0,36,0,0,0,12,0,4,3,3,2,7,0,3,2,1,5,1,3,6,2,0,3,1,2,3,9,8,33,34,17,33,59,7,45,10,25,25,9,10,39,17,27,17,20,33,36,4.89
2pov,372.9,4.1,28.9,1,77.3,2,5.4,0,6,3,4,8,0,0,2,1,0,0,12,4,0,2,6,6,1,0,1,4,8,5,2,0,3,5,1,3,2,2,1,1,3,0,3,20,12,7,23,9,12,26,7,13,1,17,17,1,10,22,17,11,8,12,19,13,7.12
1lrh,383.4,1.6,111.4,3.25,203.8,2,5.96,-1,12,0,2,9,0,0,0,0,0,0,11,0,0,0,13,4,2,1,7,4,4,2,1,0,1,5,1,0,1,2,3,1,2,0,2,5,7,5,7,10,8,12,4,7,4,12,13,3,5,9,15,9,3,8,9,10,6.82
3st5,902.6,2.3,126.9,5.23,333.7,11,7.82,0,29,2,8,40,0,0,1,0,0,0,66,3,0,2,12,0,2,1,5,1,4,0,1,1,2,3,0,2,6,0,0,0,3,3,0,25,1,4,7,15,2,10,2,5,2,6,6,0,3,13,1,5,1,8,4,4,11.3
3lxk,621.2,1.9,48.8,1.09,119.1,3,6.27,0,16,6,1,20,0,0,0,0,0,0,35,2,1,1,6,1,3,4,2,3,9,0,4,1,1,6,1,2,5,2,3,2,0,3,4,29,7,22,11,10,12,39,3,18,6,18,16,8,4,17,25,15,12,3,16,17,9.8
4sga,623,5.1,54.9,2.23,258,7,6.54,-1,24,4,6,31,0,0,0,0,0,0,51,4,0,4,8,1,2,0,2,2,0,0,2,0,2,3,4,2,9,8,1,2,6,2,0,20,3,7,0,9,5,10,1,19,1,4,12,4,12,32,21,6,8,21,4,2,7.3
